Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
720A,C14852,"STURGEON ELECTRIC COMPANY, INC.","$1,637,804.05","$1,337,325.00","$300,479.05",22.47%,1,3/10/2005
S3391,C14852,"T & T ELECTRIC, INCORPORATED","$1,856,622.00","$1,337,325.00","$519,297.00",38.83%,0,3/10/2005
,C14852 Average,,,,"-$382,035.04",15.88%,,
668A,C15157,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$2,557,832.76","$2,454,497.10","$103,335.66",4.21%,1,3/10/2005
159C,C15157,KIEWIT WESTERN CO.,"$2,734,505.75","$2,454,497.10","$280,008.65",11.41%,0,3/10/2005
163C,C15157,LAFARGE dba WESTERN MOBILE SOUTHERN,,"$2,454,497.10","-$2,454,497.10",0.00%,0,3/10/2005
163A,C15157,LAFARGE NORTH AMERICA INC.,"$2,773,794.71","$2,454,497.10","$319,297.61",13.01%,0,3/10/2005
701A,C15157,"ROCKY MOUNTAIN MATERIALS AND ASPHALT, INC.",,"$2,454,497.10","-$2,454,497.10",0.00%,0,3/10/2005
,C15157 Average,,,,"-$841,270.46",5.73%,,
060A,MM5035R,"HIGHWAY TECHNOLOGIES, INC.","$762,237.50","$680,566.00","$81,671.50",12.00%,1,3/10/2005
162A,MM5035R,KOLBE STRIPING INCORPORATED,,"$680,566.00","-$680,566.00",0.00%,0,3/10/2005
595A,MM5035R,ROAD SAFE,,"$680,566.00","-$680,566.00",0.00%,0,3/10/2005
,MM5035R Average,,,,"-$426,486.83",4.00%,,
060A,MM5038,"HIGHWAY TECHNOLOGIES, INC.","$524,042.61","$498,295.00","$25,747.61",5.17%,1,3/10/2005
162A,MM5038,KOLBE STRIPING INCORPORATED,"$529,307.00","$498,295.00","$31,012.00",6.22%,0,3/10/2005
595A,MM5038,ROAD SAFE,,"$498,295.00","-$498,295.00",0.00%,0,3/10/2005
,MM5038 Average,,,,"-$147,178.46",3.80%,,
1098A,C14938,DKS ENTERPRISES INC.,"$516,131.50","$450,159.00","$65,972.50",14.66%,0,3/17/2005
720A,C14938,"STURGEON ELECTRIC COMPANY, INC.","$496,676.00","$450,159.00","$46,517.00",10.33%,0,3/17/2005
697A,C14938,"W.L. CONTRACTORS, INC.","$494,704.00","$450,159.00","$44,545.00",9.90%,1,3/17/2005
,C14938 Average,,,,"$52,344.83",11.63%,,
232A,C15028A,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West",,"$1,774,330.25","-$1,774,330.25",0.00%,0,3/17/2005
1040A,C15028A,BTE CONCRETE FORMWORK LIMITED LIABILITY COMPANY,,"$1,774,330.25","-$1,774,330.25",0.00%,0,3/17/2005
909A,C15028A,"DIAMOND SURFACE, INC.",,"$1,774,330.25","-$1,774,330.25",0.00%,0,3/17/2005
940A,C15028A,"MULTIPLE CONCRETE ENTERPRISES, INC.","$2,748,669.75","$1,774,330.25","$974,339.50",54.91%,0,3/17/2005
692A,C15028A,NEW DESIGN CONSTRUCTION COMPANY,,"$1,774,330.25","-$1,774,330.25",0.00%,0,3/17/2005
1068A,C15028A,PENHALL COMPANY,"$2,549,184.85","$1,774,330.25","$774,854.60",43.67%,0,3/17/2005
903A,C15028A,"TLM CONSTRUCTORS, INC.",,"$1,774,330.25","-$1,774,330.25",0.00%,0,3/17/2005
,C15028A Average,,,,"-$1,017,493.88",14.08%,,
940A,C15028B,"MULTIPLE CONCRETE ENTERPRISES, INC.","$2,390,065.75","$1,496,705.25","$893,360.50",59.69%,0,3/17/2005
1068A,C15028B,PENHALL COMPANY,"$2,108,910.85","$1,496,705.25","$612,205.60",40.90%,1,3/17/2005
,C15028B Average,,,,"$752,783.05",50.30%,,
027A,C15032,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$6,933,849.87","$4,853,103.25","$2,080,746.62",42.87%,0,3/17/2005
505A,C15032,D.G. HUSKIN CONSTRUCTION CO.,,"$4,853,103.25","-$4,853,103.25",0.00%,0,3/17/2005
091A,C15032,ELAM CONSTRUCTION INCORPORATED,"$5,267,721.85","$4,853,103.25","$414,618.60",8.54%,0,3/17/2005
