Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
,C19578 Average,,,,"$474,588.89",17.75%,,
1552A,C19587,"CS Construction, Inc.","$2,442,869.00","$2,765,320.00","-$322,451.00",-11.66%,0,5/1/2014
158A,C19587,"GLASER ELECTRIC COMPANY, LLC","$2,722,187.12","$2,765,320.00","-$43,132.88",-1.56%,0,5/1/2014
1231A,C19587,INTERFACE COMMUNICATIONS COMPANY,"$2,460,000.00","$2,765,320.00","-$305,320.00",-11.04%,0,5/1/2014
720A,C19587,"STURGEON ELECTRIC COMPANY, INC.","$2,663,417.00","$2,765,320.00","-$101,903.00",-3.69%,0,5/1/2014
1465A,C19587,"TK CONSTRUCTION US, LLC","$2,340,246.37","$2,765,320.00","-$425,073.63",-15.37%,0,5/1/2014
697A,C19587,"W.L. CONTRACTORS, INC.","$2,279,216.50","$2,765,320.00","-$486,103.50",-17.58%,1,5/1/2014
,C19587 Average,,,,"-$280,664.00",-10.15%,,
005A,C19776,A and S CONSTRUCTION CO.,"$2,727,000.00","$2,897,229.72","-$170,229.72",-5.88%,1,5/1/2014
027A,C19776,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$2,996,113.56","$2,897,229.72","$98,883.84",3.41%,0,5/1/2014
668A,C19776,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$3,160,808.86","$2,897,229.72","$263,579.14",9.10%,0,5/1/2014
695A,C19776,KIEWIT INFRASTRUCTURE CO.,"$2,805,845.93","$2,897,229.72","-$91,383.79",-3.15%,0,5/1/2014
701A,C19776,"ROCKY MOUNTAIN MATERIALS AND ASPHALT, INC.","$3,260,962.22","$2,897,229.72","$363,732.50",12.55%,0,5/1/2014
,C19776 Average,,,,"$92,916.39",3.21%,,
1554A,C19913,"American Civil Constructors West Coast, LLC","$7,249,248.00","$9,455,814.00","-$2,206,566.00",-23.34%,0,5/1/2014
854A,C19913,LAWSON CONSTRUCTION CO.,"$9,990,882.55","$9,455,814.00","$535,068.55",5.66%,0,5/1/2014
1557A,C19913,"Myers and Sons Construction, LP","$7,359,502.00","$9,455,814.00","-$2,096,312.00",-22.17%,0,5/1/2014
102A,C19913,THE TRUESDELL CORPORATION,"$6,993,993.00","$9,455,814.00","-$2,461,821.00",-26.03%,1,5/1/2014
,C19913 Average,,,,"-$1,557,407.61",-16.47%,,
164A,C20134R,EDWARD KRAEMER AND SONS INCORPORATED,"$2,108,986.00","$2,108,986.00",$0.00,0.00%,1,5/6/2014
,C20134R Average,,,,$0.00,0.00%,,
099H,C18151,"FLATIRON CONSTRUCTORS,  INC.","$11,856,866.34","$12,496,234.00","-$639,367.66",-5.12%,0,5/8/2014
1174A,C18151,HAMILTON CONSTRUCTION CO.,"$11,340,837.35","$12,496,234.00","-$1,155,396.65",-9.25%,0,5/8/2014
884A,C18151,"HAMON INFRASTRUCTURE, INC.","$12,750,000.00","$12,496,234.00","$253,766.00",2.03%,0,5/8/2014
169A,C18151,LAWRENCE CONSTRUCTION COMPANY,"$13,474,377.64","$12,496,234.00","$978,143.64",7.83%,0,5/8/2014
692A,C18151,NEW DESIGN CONSTRUCTION COMPANY,"$12,297,665.42","$12,496,234.00","-$198,568.58",-1.59%,0,5/8/2014
870A,C18151,"SEMA CONSTRUCTION, INC.","$11,272,347.41","$12,496,234.00","-$1,223,886.59",-9.79%,1,5/8/2014
1086A,C18151,"STRUCTURES, INC.","$11,560,687.27","$12,496,234.00","-$935,546.73",-7.49%,0,5/8/2014
,C18151 Average,,,,"-$417,265.22",-3.34%,,
320B,C19166,"GEOSTABILIZATION INTERNATIONAL, LLC","$4,694,656.42","$2,526,106.00","$2,168,550.42",85.85%,0,5/8/2014
244A,C19166,"Kissner General Contractors, Inc.","$3,343,252.32","$2,526,106.00","$817,146.32",32.35%,0,5/8/2014
1273A,C19166,ROCK and CO.,"$5,879,380.00","$2,526,106.00","$3,353,274.00",132.74%,0,5/8/2014
1465A,C19166,"TK CONSTRUCTION US, LLC","$2,993,321.45","$2,526,106.00","$467,215.45",18.50%,0,5/8/2014
,C19166 Average,,,,"$1,701,546.55",67.36%,,
232A,C19393,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$652,125.00","$453,761.05","$198,363.95",43.72%,0,5/8/2014
174A,C19393,CONNELL RESOURCES INCORPORATED,"$591,353.35","$453,761.05","$137,592.30",30.32%,0,5/8/2014
084A,C19393,DUCKELS CONSTRUCTION INCORPORATED,"$527,835.75","$453,761.05","$74,074.70",16.32%,1,5/8/2014
164A,C19393,EDWARD KRAEMER AND SONS INCORPORATED,"$558,034.00","$453,761.05","$104,272.95",22.98%,0,5/8/2014
,C19393 Average,,,,"$128,575.98",28.34%,,
232A,C19443,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$1,621,949.60","$1,411,474.68","$210,474.92",14.91%,0,5/8/2014
065A,C19443,CONCRETE WORKS OF COLORADO INCORPORATED,"$1,707,145.60","$1,411,474.68","$295,670.92",20.95%,0,5/8/2014
010A,C19443,NORAA CONCRETE CONSTRUCTION CORPORATION,"$1,787,177.24","$1,411,474.68","$375,702.56",26.62%,0,5/8/2014
025A,C19443,TONY J. BELTRAMO AND SONS INCORPORATED,"$1,469,876.75","$1,411,474.68","$58,402.07",4.14%,1,5/8/2014
,C19443 Average,,,,"$235,062.62",16.65%,,
1052A,C19806,"SURFACE PREPARATION TECHNOLOGIES, LLC","$203,805.10","$239,248.40","-$35,443.30",-14.81%,1,5/8/2014
,C19806 Average,,,,"-$35,443.30",-14.81%,,
091A,C19883,ELAM CONSTRUCTION INCORPORATED,"$127,448.30","$116,033.50","$11,414.80",9.84%,1,5/8/2014
672A,C19883,"OLDCASTLE SW GROUP, INC.","$135,816.69","$116,033.50","$19,783.19",17.05%,0,5/8/2014
,C19883 Average,,,,"$15,599.00",13.44%,,
005A,C19935,A and S CONSTRUCTION CO.,"$4,727,000.00","$4,721,403.12","$5,596.88",0.12%,1,5/8/2014
027A,C19935,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$5,025,248.31","$4,721,403.12","$303,845.19",6.44%,0,5/8/2014
295A,C19935,THE WALSENBURG SAND AND GRAVEL COMPANY,"$4,801,485.70","$4,721,403.12","$80,082.58",1.70%,0,5/8/2014
,C19935 Average,,,,"$129,841.55",2.75%,,
005A,C19127,A and S CONSTRUCTION CO.,"$3,930,000.00","$4,109,526.40","-$179,526.40",-4.37%,0,5/15/2014
027A,C19127,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$3,689,272.80","$4,109,526.40","-$420,253.60",-10.23%,0,5/15/2014
757A,C19127,MARTIN MARIETTA MATERIALS,"$3,869,696.10","$4,109,526.40","-$239,830.30",-5.84%,0,5/15/2014
701A,C19127,"ROCKY MOUNTAIN MATERIALS AND ASPHALT, INC.","$3,854,061.61","$4,109,526.40","-$255,464.79",-6.22%,0,5/15/2014
025A,C19127,TONY J. BELTRAMO AND SONS INCORPORATED,"$3,630,889.35","$4,109,526.40","-$478,637.05",-11.65%,1,5/15/2014
,C19127 Average,,,,"-$314,742.43",-7.66%,,
244A,C19877,"Kissner General Contractors, Inc.","$840,829.00","$651,778.00","$189,051.00",29.01%,0,5/15/2014
279A,C19877,"TEZAK HEAVY EQUIPMENT CO., INC.","$773,158.24","$651,778.00","$121,380.24",18.62%,1,5/15/2014
255D,C19877,"WILDCAT CONSTRUCTION CO., INC.","$898,235.00","$651,778.00","$246,457.00",37.81%,0,5/15/2014
,C19877 Average,,,,"$185,629.41",28.48%,,
164A,C20164,EDWARD KRAEMER AND SONS INCORPORATED,"$479,150.00","$479,150.00",$0.00,0.00%,1,5/21/2014
,C20164 Average,,,,$0.00,0.00%,,
027A,C19171R,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$5,924,902.10","$6,956,464.95","-$1,031,562.85",-14.83%,1,5/22/2014
672A,C19171R,"OLDCASTLE SW GROUP, INC.","$6,454,485.00","$6,956,464.95","-$501,979.95",-7.22%,0,5/22/2014
,C19171R Average,,,,"-$766,771.40",-11.02%,,
005A,C19202,A and S CONSTRUCTION CO.,"$18,888,322.90","$13,053,384.62","$5,834,938.28",44.70%,0,5/22/2014
091A,C19202,ELAM CONSTRUCTION INCORPORATED,"$15,898,301.28","$13,053,384.62","$2,844,916.66",21.79%,0,5/22/2014
672A,C19202,"OLDCASTLE SW GROUP, INC.","$13,761,568.45","$13,053,384.62","$708,183.83",5.43%,0,5/22/2014
147A,C19202,SKANSKA USA CIVIL WEST ROCKY MOUNTAIN DISTRICT INC.,"$13,714,996.54","$13,053,384.62","$661,611.92",5.07%,1,5/22/2014
592A,C19202,W.W. CLYDE & CO.,"$15,974,276.05","$13,053,384.62","$2,920,891.43",22.38%,0,5/22/2014
,C19202 Average,,,,"$2,594,108.42",19.87%,,
1282A,C19476,"AMERICAN WEST CONSTRUCTION, LLC","$1,092,777.00","$1,019,253.00","$73,524.00",7.21%,0,5/22/2014
866A,C19476,"AUI, INC","$1,371,644.34","$1,019,253.00","$352,391.34",34.57%,0,5/22/2014
S3082,C19476,"MOUNTAIN VALLEY CONTRACTING, Inc","$989,851.00","$1,019,253.00","-$29,402.00",-2.88%,1,5/22/2014
279A,C19476,"TEZAK HEAVY EQUIPMENT CO., INC.","$1,019,394.98","$1,019,253.00",$141.98,0.01%,0,5/22/2014
,C19476 Average,,,,"$99,163.83",9.73%,,
065A,C19767,CONCRETE WORKS OF COLORADO INCORPORATED,"$906,540.25","$351,267.50","$555,272.75",158.08%,0,5/22/2014
090A,C19767,INTERSTATE HIGHWAY CONSTRUCTION,"$487,316.25","$351,267.50","$136,048.75",38.73%,1,5/22/2014
503F,C19767,K.E.C.I. COLORADO INCORPORATED,"$542,977.00","$351,267.50","$191,709.50",54.58%,0,5/22/2014
,C19767 Average,,,,"$294,343.67",83.79%,,
232A,C18159R,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$8,990,260.00","$7,858,392.25","$1,131,867.75",14.40%,0,5/29/2014
164A,C18159R,EDWARD KRAEMER AND SONS INCORPORATED,"$8,174,612.61","$7,858,392.25","$316,220.36",4.02%,0,5/29/2014
1086A,C18159R,"STRUCTURES, INC.","$8,129,892.98","$7,858,392.25","$271,500.73",3.45%,1,5/29/2014
,C18159R Average,,,,"$573,196.28",7.29%,,
032A,C19671,"BRANNAN SAND AND GRAVEL, LLC","$5,564,904.14","$5,561,818.55","$3,085.59",0.06%,1,5/29/2014
757A,C19671,MARTIN MARIETTA MATERIALS,"$6,961,605.35","$5,561,818.55","$1,399,786.80",25.17%,0,5/29/2014
,C19671 Average,,,,"$701,436.20",12.61%,,
162A,C20157,KOLBE STRIPING INCORPORATED,"$1,846,244.33","$1,902,259.20","-$56,014.87",-2.94%,0,5/29/2014
607A,C20157,"ROADSAFE TRAFFIC SYSTEMS, INC","$1,672,818.65","$1,902,259.20","-$229,440.55",-12.06%,1,5/29/2014
,C20157 Average,,,,"-$142,727.71",-7.50%,,
1282A,C19472,"AMERICAN WEST CONSTRUCTION, LLC","$849,201.00","$709,424.50","$139,776.50",19.70%,1,6/5/2014
865A,C19472,"CONCRETE EXPRESS, INC.","$983,573.20","$709,424.50","$274,148.70",38.64%,0,6/5/2014
,C19472 Average,,,,"$206,962.60",29.17%,,
174A,C19708,CONNELL RESOURCES INCORPORATED,"$5,789,916.35","$6,219,163.50","-$429,247.15",-6.90%,1,6/5/2014
,C19708 Average,,,,"-$429,247.15",-6.90%,,
607A,C20144,"ROADSAFE TRAFFIC SYSTEMS, INC","$6,289,657.50","$5,927,886.00","$361,771.50",6.10%,1,6/5/2014
,C20144 Average,,,,"$361,771.50",6.10%,,
160A,C20146,"KIRKLAND CONSTRUCTION, L.L.L.P.","$4,965,819.50","$5,083,650.00","-$117,830.50",-2.32%,1,6/5/2014
,C20146 Average,,,,"-$117,830.50",-2.32%,,
977A,C19204,"EVEN CONSTRUCTION, INC. dba EVEN-PREISSER, INC.","$588,888.00","$610,480.80","-$21,592.80",-3.54%,1,6/12/2014
503F,C19204,K.E.C.I. COLORADO INCORPORATED,"$821,109.00","$610,480.80","$210,628.20",34.50%,0,6/12/2014
,C19204 Average,,,,"$94,517.70",15.48%,,
S4646,C20320,HARRY CORKLE CONSTRUCTION,"$223,148.20","$3,542.50","$219,605.70",6199.17%,0,6/13/2014
509A,C20320,STAN MILLER INCORPORATED,"$258,939.75","$3,542.50","$255,397.25",7209.52%,1,6/13/2014
,C20320 Average,,,,"$237,501.48",6704.35%,,
672A,C18612,"OLDCASTLE SW GROUP, INC.","$1,827,557.00","$1,801,579.00","$25,978.00",1.44%,0,6/19/2014
055A,C18612,"TRICON 2, LLC","$1,598,000.00","$1,801,579.00","-$203,579.00",-11.30%,1,6/19/2014
,C18612 Average,,,,"-$88,800.50",-4.93%,,
668A,C19500R,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$2,985,139.01","$2,700,000.00","$285,139.01",10.56%,0,6/19/2014
701A,C19500R,"ROCKY MOUNTAIN MATERIALS AND ASPHALT, INC.","$3,087,889.79","$2,700,000.00","$387,889.79",14.37%,0,6/19/2014
025A,C19500R,TONY J. BELTRAMO AND SONS INCORPORATED,"$2,872,376.40","$2,700,000.00","$172,376.40",6.38%,0,6/19/2014
,C19500R Average,,,,"$281,801.73",10.44%,,
192B,C19763R,"MIDWEST ROCKFALL, INC.","$1,808,720.00","$1,594,250.00","$214,470.00",13.45%,0,6/19/2014
1273A,C19763R,ROCK and CO.,"$1,965,465.00","$1,594,250.00","$371,215.00",23.28%,0,6/19/2014
1465A,C19763R,"TK CONSTRUCTION US, LLC","$1,566,910.35","$1,594,250.00","-$27,339.65",-1.71%,1,6/19/2014
,C19763R Average,,,,"$186,115.12",11.67%,,
1574A,C20306,"MOUNTAIN CORRIDOR CONSTRUCTORS, LLC","$12,938,337.83","$12,367,597.19","$570,740.64",4.61%,1,6/25/2014
,C20306 Average,,,,"$570,740.64",4.61%,,
1275A,C16602,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$34,956,995.84","$28,325,060.36","$6,631,935.48",23.41%,0,6/26/2014
065A,C16602,CONCRETE WORKS OF COLORADO INCORPORATED,"$30,141,436.91","$28,325,060.36","$1,816,376.55",6.41%,0,6/26/2014
090A,C16602,INTERSTATE HIGHWAY CONSTRUCTION,"$26,867,019.60","$28,325,060.36","-$1,458,040.76",-5.15%,1,6/26/2014
854A,C16602,LAWSON CONSTRUCTION CO.,"$31,733,025.60","$28,325,060.36","$3,407,965.24",12.03%,0,6/26/2014
S3913,C16602,SCOTT CONTRACTING INC.,"$30,450,915.80","$28,325,060.36","$2,125,855.44",7.51%,0,6/26/2014
870A,C16602,"SEMA CONSTRUCTION, INC.","$30,747,504.85","$28,325,060.36","$2,422,444.49",8.55%,0,6/26/2014
,C16602 Average,,,,"$2,491,089.41",8.79%,,
1552A,C19376,"CS Construction, Inc.","$2,198,169.00","$2,605,075.40","-$406,906.40",-15.62%,0,6/26/2014
1231A,C19376,INTERFACE COMMUNICATIONS COMPANY,"$1,885,660.74","$2,605,075.40","-$719,414.66",-27.62%,1,6/26/2014
1465A,C19376,"TK CONSTRUCTION US, LLC","$2,371,907.73","$2,605,075.40","-$233,167.67",-8.95%,0,6/26/2014
697A,C19376,"W.L. CONTRACTORS, INC.","$2,258,230.00","$2,605,075.40","-$346,845.40",-13.31%,0,6/26/2014
,C19376 Average,,,,"-$426,583.53",-16.38%,,
695A,C19983R,KIEWIT INFRASTRUCTURE CO.,"$4,361,539.50","$4,021,492.50","$340,047.00",8.46%,1,6/26/2014
,C19983R Average,,,,"$340,047.00",8.46%,,
447A,C20105,IDEAL FENCING CORPORATION,"$857,295.90","$814,164.69","$43,131.21",5.30%,1,6/26/2014
1572,C20105,"PAVEMENT MARKINGS NORTHWEST, INC.","$1,173,202.99","$814,164.69","$359,038.30",44.10%,0,6/26/2014
,C20105 Average,,,,"$201,084.76",24.70%,,
279A,C19304-COMBO,"TEZAK HEAVY EQUIPMENT CO., INC.","$1,748,651.25","$1,800,000.00","-$51,348.75",-2.85%,1,7/3/2014
,C19304-COMBO Average,,,,"-$51,348.75",-2.85%,,
1266A,C19897,"AVALANCHE EXCAVATING, INC.","$1,172,060.16","$850,000.00","$322,060.16",37.89%,0,7/3/2014
279A,C19897,"TEZAK HEAVY EQUIPMENT CO., INC.","$889,723.20","$850,000.00","$39,723.20",4.67%,1,7/3/2014
,C19897 Average,,,,"$180,891.68",21.28%,,
099H,C18085,"FLATIRON CONSTRUCTORS,  INC.","$9,614,578.71","$10,522,710.85","-$908,132.14",-8.63%,1,7/10/2014
1174A,C18085,HAMILTON CONSTRUCTION CO.,"$9,936,395.21","$10,522,710.85","-$586,315.64",-5.57%,0,7/10/2014
696A,C18085,"JALISCO INTERNATIONAL, INC.","$10,146,189.85","$10,522,710.85","-$376,521.00",-3.58%,0,7/10/2014
169A,C18085,LAWRENCE CONSTRUCTION COMPANY,"$9,751,403.09","$10,522,710.85","-$771,307.76",-7.33%,0,7/10/2014
870A,C18085,"SEMA CONSTRUCTION, INC.","$9,985,283.27","$10,522,710.85","-$537,427.58",-5.11%,0,7/10/2014
,C18085 Average,,,,"-$635,940.82",-6.04%,,
905A,C19915R,"ABCO CONTRACTING, INC.","$2,446,814.00","$2,374,107.25","$72,706.75",3.06%,0,7/11/2014
1554A,C19915R,"American Civil Constructors West Coast, LLC","$2,398,131.00","$2,374,107.25","$24,023.75",1.01%,1,7/11/2014
1174A,C19915R,HAMILTON CONSTRUCTION CO.,"$2,815,740.00","$2,374,107.25","$441,632.75",18.60%,0,7/11/2014
1557A,C19915R,"Myers and Sons Construction, LP","$2,810,490.00","$2,374,107.25","$436,382.75",18.38%,0,7/11/2014
,C19915R Average,,,,"$243,686.50",10.26%,,
192B,C20110,"MIDWEST ROCKFALL, INC.","$1,308,100.25","$1,128,330.00","$179,770.25",15.93%,0,7/11/2014
1465A,C20110,"TK CONSTRUCTION US, LLC","$1,033,041.91","$1,128,330.00","-$95,288.09",-8.45%,1,7/11/2014
,C20110 Average,,,,"$42,241.08",3.74%,,
446T,C18155-COMBO,DONDLINGER & SONS CONSTRUCTION,"$9,963,671.07","$8,200,000.00","$1,763,671.07",21.51%,1,7/17/2014
160A,C18155-COMBO,"KIRKLAND CONSTRUCTION, L.L.L.P.","$10,153,510.35","$8,200,000.00","$1,953,510.35",23.82%,0,7/17/2014
870A,C18155-COMBO,"SEMA CONSTRUCTION, INC.","$11,209,184.80","$8,200,000.00","$3,009,184.80",36.70%,0,7/17/2014
,C18155-COMBO Average,,,,"$2,242,122.07",27.34%,,
692A,C18370,NEW DESIGN CONSTRUCTION COMPANY,"$3,791,042.00","$3,000,000.00","$791,042.00",26.37%,0,7/17/2014
870A,C18370,"SEMA CONSTRUCTION, INC.","$3,487,309.60","$3,000,000.00","$487,309.60",16.24%,0,7/17/2014
1086A,C18370,"STRUCTURES, INC.","$3,431,402.75","$3,000,000.00","$431,402.75",14.38%,1,7/17/2014
,C18370 Average,,,,"$569,918.12",19.00%,,
865A,C19191,"CONCRETE EXPRESS, INC.","$1,988,551.00","$2,044,471.25","-$55,920.25",-2.74%,0,7/17/2014
065A,C19191,CONCRETE WORKS OF COLORADO INCORPORATED,"$2,343,282.10","$2,044,471.25","$298,810.85",14.62%,0,7/17/2014
696A,C19191,"JALISCO INTERNATIONAL, INC.","$1,956,375.40","$2,044,471.25","-$88,095.85",-4.31%,1,7/17/2014
,C19191 Average,,,,"$51,598.25",2.52%,,
065A,C19273,CONCRETE WORKS OF COLORADO INCORPORATED,"$6,929,577.40","$5,717,332.27","$1,212,245.13",21.20%,1,7/17/2014
090A,C19273,INTERSTATE HIGHWAY CONSTRUCTION,"$8,999,896.80","$5,717,332.27","$3,282,564.53",57.41%,0,7/17/2014
854A,C19273,LAWSON CONSTRUCTION CO.,"$7,456,934.15","$5,717,332.27","$1,739,601.88",30.43%,0,7/17/2014
S4792,C19273,VILLALOBOS CONCRETE INC,"$7,692,358.00","$5,717,332.27","$1,975,025.73",34.54%,0,7/17/2014
,C19273 Average,,,,"$2,052,359.32",35.90%,,
905A,C19590,"ABCO CONTRACTING, INC.","$1,018,458.00","$1,065,666.65","-$47,208.65",-4.43%,1,7/17/2014
884A,C19590,"HAMON INFRASTRUCTURE, INC.","$1,452,000.00","$1,065,666.65","$386,333.35",36.25%,0,7/17/2014
,C19590 Average,,,,"$169,562.35",15.91%,,
1507A,C19764,"PAONIA, INC dba PAONIA, LLC","$1,650,374.92","$2,130,772.00","-$480,397.08",-22.55%,1,7/17/2014
720A,C19764,"STURGEON ELECTRIC COMPANY, INC.","$2,128,102.00","$2,130,772.00","-$2,670.00",-0.13%,0,7/17/2014
1465A,C19764,"TK CONSTRUCTION US, LLC","$2,126,747.00","$2,130,772.00","-$4,025.00",-0.19%,0,7/17/2014
697A,C19764,"W.L. CONTRACTORS, INC.","$2,138,329.00","$2,130,772.00","$7,557.00",0.35%,0,7/17/2014
,C19764 Average,,,,"-$119,883.77",-5.63%,,
1465A,C19766,"TK CONSTRUCTION US, LLC","$671,459.32","$670,119.00","$1,340.32",0.20%,0,7/17/2014
697A,C19766,"W.L. CONTRACTORS, INC.","$545,530.10","$670,119.00","-$124,588.90",-18.59%,1,7/17/2014
,C19766 Average,,,,"-$61,624.29",-9.20%,,
1200A,C19798,"C & D ELECTRIC, INC.","$724,266.50","$614,000.00","$110,266.50",17.96%,1,7/17/2014
1465A,C19798,"TK CONSTRUCTION US, LLC","$928,255.76","$614,000.00","$314,255.76",51.18%,0,7/17/2014
,C19798 Average,,,,"$212,261.13",34.57%,,
071A,C20098,COULSON EXCAVATING COMPANY INCORPORATED,"$6,358,233.65","$6,242,724.25","$115,509.40",1.85%,1,7/17/2014
,C20098 Average,,,,"$115,509.40",1.85%,,
1567A,C20123,"Lobato Construction, LLC","$2,281,773.65","$1,800,000.00","$481,773.65",26.77%,0,7/17/2014
780A,C20123,"LOBOS STRUCTURES, LLC","$2,173,181.20","$1,800,000.00","$373,181.20",20.73%,0,7/17/2014
903A,C20123,"TLM CONSTRUCTORS, INC.","$2,172,868.75","$1,800,000.00","$372,868.75",20.71%,1,7/17/2014
,C20123 Average,,,,"$409,274.53",22.74%,,
1342A,C20147,"CC ENTERPRISES - TRAFFIC CONTROL SPECIALISTS, INC.","$603,605.00","$715,770.00","-$112,165.00",-15.67%,1,7/17/2014
1552A,C20147,"CS Construction, Inc.","$774,942.00","$715,770.00","$59,172.00",8.27%,0,7/17/2014
1465A,C20147,"TK CONSTRUCTION US, LLC","$693,595.00","$715,770.00","-$22,175.00",-3.10%,0,7/17/2014
,C20147 Average,,,,"-$25,056.00",-3.50%,,
1552A,C20173,"CS Construction, Inc.","$326,869.00","$384,480.00","-$57,611.00",-14.98%,1,7/17/2014
158A,C20173,"GLASER ELECTRIC COMPANY, LLC","$379,069.44","$384,480.00","-$5,410.56",-1.41%,0,7/17/2014
1465A,C20173,"TK CONSTRUCTION US, LLC","$445,925.75","$384,480.00","$61,445.75",15.98%,0,7/17/2014
697A,C20173,"W.L. CONTRACTORS, INC.","$441,069.00","$384,480.00","$56,589.00",14.72%,0,7/17/2014
,C20173 Average,,,,"$13,753.30",3.58%,,
905A,C19431R,"ABCO CONTRACTING, INC.","$3,665,225.00","$3,524,209.50","$141,015.50",4.00%,1,7/24/2014
884A,C19431R,"HAMON INFRASTRUCTURE, INC.","$3,588,000.00","$3,524,209.50","$63,790.50",1.81%,0,7/24/2014
,C19431R Average,,,,"$102,403.00",2.91%,,
1552A,C19662,"CS Construction, Inc.","$894,904.00","$900,000.00","-$5,096.00",-0.57%,0,7/24/2014
158A,C19662,"GLASER ELECTRIC COMPANY, LLC","$856,413.92","$900,000.00","-$43,586.08",-4.84%,1,7/24/2014
1231A,C19662,INTERFACE COMMUNICATIONS COMPANY,"$940,417.50","$900,000.00","$40,417.50",4.49%,0,7/24/2014
720A,C19662,"STURGEON ELECTRIC COMPANY, INC.","$1,295,296.00","$900,000.00","$395,296.00",43.92%,0,7/24/2014
1465A,C19662,"TK CONSTRUCTION US, LLC","$945,096.17","$900,000.00","$45,096.17",5.01%,0,7/24/2014
697A,C19662,"W.L. CONTRACTORS, INC.","$1,139,585.00","$900,000.00","$239,585.00",26.62%,0,7/24/2014
,C19662 Average,,,,"$111,952.10",12.44%,,
905A,C19380R,"ABCO CONTRACTING, INC.","$980,930.50","$1,001,109.00","-$20,178.50",-2.02%,1,7/31/2014
084A,C19380R,DUCKELS CONSTRUCTION INCORPORATED,"$1,068,550.00","$1,001,109.00","$67,441.00",6.74%,0,7/31/2014
,C19380R Average,,,,"$23,631.25",2.36%,,
090A,C18108,INTERSTATE HIGHWAY CONSTRUCTION,"$1,060,969.40","$912,301.50","$148,667.90",16.30%,1,8/7/2014
,C18108 Average,,,,"$148,667.90",16.30%,,
905A,C19730R,"ABCO CONTRACTING, INC.","$1,740,123.00","$1,587,750.00","$152,373.00",9.60%,1,8/7/2014
,C19730R Average,,,,"$152,373.00",9.60%,,
720A,C19782,"STURGEON ELECTRIC COMPANY, INC.","$3,867,694.00","$3,559,705.00","$307,989.00",8.65%,0,8/14/2014
1465A,C19782,"TK CONSTRUCTION US, LLC","$4,099,485.38","$3,559,705.00","$539,780.38",15.16%,0,8/14/2014
697A,C19782,"W.L. CONTRACTORS, INC.","$3,748,365.50","$3,559,705.00","$188,660.50",5.30%,1,8/14/2014
,C19782 Average,,,,"$345,476.63",9.71%,,
178A,C19876R,MAIN ELECTRIC LTD,"$406,819.31","$441,820.00","-$35,000.69",-7.92%,1,8/14/2014
720A,C19876R,"STURGEON ELECTRIC COMPANY, INC.","$602,226.00","$441,820.00","$160,406.00",36.31%,0,8/14/2014
S3391,C19876R,"T & T ELECTRIC, INCORPORATED","$449,449.00","$441,820.00","$7,629.00",1.73%,0,8/14/2014
1465A,C19876R,"TK CONSTRUCTION US, LLC","$562,714.19","$441,820.00","$120,894.19",27.36%,0,8/14/2014
,C19876R Average,,,,"$63,482.13",14.37%,,
232A,C16698,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$2,233,150.00","$2,063,124.65","$170,025.35",8.24%,0,8/21/2014
084A,C16698,DUCKELS CONSTRUCTION INCORPORATED,"$1,833,762.89","$2,063,124.65","-$229,361.76",-11.12%,1,8/21/2014
780A,C16698,"LOBOS STRUCTURES, LLC","$2,302,936.32","$2,063,124.65","$239,811.67",11.62%,0,8/21/2014
055A,C16698,"TRICON 2, LLC","$2,326,000.00","$2,063,124.65","$262,875.35",12.74%,0,8/21/2014
,C16698 Average,,,,"$110,837.65",5.37%,,
164A,C18367,EDWARD KRAEMER AND SONS INCORPORATED,"$12,516,915.14","$10,500,000.00","$2,016,915.14",19.21%,0,8/21/2014
870A,C18367,"SEMA CONSTRUCTION, INC.","$11,548,549.80","$10,500,000.00","$1,048,549.80",9.99%,1,8/21/2014
255D,C18367,"WILDCAT CONSTRUCTION CO., INC.","$13,650,513.27","$10,500,000.00","$3,150,513.27",30.00%,0,8/21/2014
,C18367 Average,,,,"$2,071,992.74",19.73%,,
028B,C19898,"AGGREGATE INDUSTRIES - WCR, INC.","$2,410,937.60","$1,775,417.00","$635,520.60",35.80%,0,8/21/2014
032A,C19898,"BRANNAN SAND AND GRAVEL, LLC","$2,184,532.88","$1,775,417.00","$409,115.88",23.04%,1,8/21/2014
668A,C19898,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$2,377,170.00","$1,775,417.00","$601,753.00",33.89%,0,8/21/2014
